"Arm0","Arm1","Arm2","Arm3","Arm4","Arm5"
-86,0,-32,0,0,0
0,-93,71,-37,-26,0
0,-61,0,0,35,0
-60,0,0,0,0,0
42,34,67,0,93,0
0,24,23,0,-25,0
25,0,0,0,0,0
0,0,0,0,0,0
-84,97,-3,4,82,18
-18,-52,0,49,0,0
0,-15,-6,-70,0,0
-79,99,-15,-98,-62,0
85,-19,-34,0,0,-22
18,-11,36,0,57,15
0,-95,64,99,0,0
0,-85,-8,-88,70,-77
0,0,-66,-72,0,0
0,0,0,-94,-27,4
-45,0,-81,-66,0,0
0,0,35,0,43,0
0,34,25,74,73,0
0,0,18,0,-31,0
0,85,-25,0,0,0
0,0,6,0,0,0
0,-80,31,0,0,-91
0,0,-73,0,0,0
39,0,0,0,0,0
0,0,0,-40,0,0
0,0,-17,0,0,-96
0,0,-100,0,0,22
-11,66,54,0,0,45
0,-44,-57,-67,8,0
0,0,65,0,-44,0
0,-83,-63,0,91,0
0,37,-6,44,0,0
95,-25,0,0,0,0
-24,-91,-13,0,-97,0
-57,-85,-48,0,55,0
0,-91,73,44,-43,-53
-17,0,-84,0,-16,0
-8,0,0,0,-27,0
0,0,0,0,0,0
0,0,-16,-60,0,0
79,0,62,48,0,0
0,0,-36,-7,0,0
0,0,-33,0,0,-57
0,0,40,0,86,0
7,0,41,0,80,0
0,0,30,0,0,-8
0,0,57,0,0,0
35,40,43,0,-19,0
0,45,97,0,0,0
0,96,-7,95,79,0
0,-46,11,-10,0,0
0,-57,79,0,42,6
0,-22,0,0,-65,0
-24,88,-88,0,14,0
0,24,50,0,45,0
0,50,-59,15,-7,0
-28,0,60,39,-82,0
0,70,84,0,0,0
-26,-53,-29,-39,0,25
0,0,95,0,0,0
0,0,-7,33,0,0
0,0,21,0,0,0
79,53,23,0,0,50
0,0,-50,0,-7,0
0,0,-68,88,0,-8
0,0,66,0,0,-64
-42,-76,66,0,0,0
93,0,52,0,0,0
54,-47,0,23,0,0
-15,-21,0,0,-69,0
0,91,49,-92,0,0
0,0,-21,14,0,0
0,53,61,15,-1,21
-32,-99,-23,90,-82,0
-37,0,91,71,0,0
-51,-9,-18,0,-69,0
0,57,0,0,0,74
0,71,-99,0,0,55
0,-42,37,98,0,0
0,78,-90,0,0,0
-69,13,-83,0,0,0
0,0,-24,-51,0,0
0,0,92,-43,0,0
-60,0,0,18,4,0
0,0,29,0,0,0
0,0,-54,-22,-5,62
-4,0,36,0,0,0
0,-72,0,10,-58,0
-36,0,0,-49,9,0
-45,0,-28,0,0,10
0,0,-5,0,0,0
-91,51,-38,0,-30,40
-83,0,40,-92,-87,0
0,0,0,2,0,0
0,0,22,0,0,0
0,0,-7,100,0,-25
-66,94,0,0,0,0
97,-21,0,0,0,0
-68,0,0,40,0,0
72,-95,0,0,0,-32
0,-13,87,-39,0,0
0,57,35,-3,-93,-22
-90,-52,26,30,-74,0
0,35,0,0,0,0
62,90,33,0,72,0
0,0,42,-8,0,0
98,0,0,0,0,0
0,0,-68,-50,48,0
0,0,34,0,0,0
-100,0,20,-53,0,19
31,-60,57,100,-49,0
0,0,94,0,-73,0
51,0,34,0,0,0
0,0,-7,63,36,77
0,0,0,0,0,67
88,79,25,0,0,0
84,-4,-67,0,0,0
11,-53,-20,0,0,0
84,0,0,0,0,0
0,0,0,-96,0,0
0,100,-85,55,-44,0
93,0,21,0,79,0
0,0,86,60,0,0
0,15,0,-80,44,0
0,80,-79,0,44,0
-80,0,0,70,0,0
82,-45,0,0,0,0
-45,-62,-29,15,-13,-3
0,0,0,0,-9,0
0,0,-82,15,0,0
62,0,0,-22,27,-47
95,-11,19,0,15,0
-51,-67,-6,6,-61,0
0,0,0,0,0,0
0,0,0,0,0,0
-46,-47,0,-91,0,0
-67,0,78,66,-47,0
0,0,98,12,0,0
0,0,-70,0,0,0
3,0,-68,0,0,0
0,28,15,0,0,-27
0,2,6,0,-97,8
-15,-54,-61,56,-11,0
-18,0,-90,90,95,-17
0,0,-1,-10,0,0
-83,-100,-28,0,0,0
0,-21,-90,0,0,0
0,-90,96,0,0,0
0,-48,58,0,0,0
39,-65,0,60,-37,-51
-11,80,0,0,7,0
0,0,0,0,-27,-3
0,0,-6,0,0,0
0,0,0,0,0,0
0,0,-81,-37,0,0
16,0,99,0,0,0
0,0,-16,0,0,0
0,0,-67,0,-85,71
0,0,-17,-1,0,0
0,0,99,-56,0,0
29,0,12,0,0,0
0,0,0,0,0,0
0,0,-91,0,52,0
-35,0,44,0,-22,0
2,-74,0,0,48,0
5,-78,66,0,-37,45
0,88,49,-63,-76,0
44,-63,67,0,-91,0
0,0,0,-55,-83,42
0,13,5,-66,28,0
0,22,0,0,-24,0
0,-62,78,0,0,-6
48,93,-90,0,0,30
0,-59,89,0,0,52
0,0,-44,24,-42,53
0,0,-72,0,0,64
0,0,0,1,0,0
-18,0,-86,0,0,0
0,0,99,0,0,0
-21,0,-49,-50,0,0
-8,-41,99,0,-25,0
0,0,19,0,0,0
25,67,-34,0,11,0
0,0,77,0,0,-28
64,-73,-94,17,0,0
-32,68,-34,0,0,0
43,0,2,0,88,-76
59,0,0,18,-82,0
0,0,0,-95,37,0
0,-14,94,0,-72,0
0,79,0,0,0,0
42,39,32,53,0,0
0,-11,0,0,0,0
0,44,0,69,0,20
0,84,0,98,47,0
0,-41,-97,-81,0,0
87,66,-51,2,0,0
-39,0,0,0,0,0
-4,0,-32,0,29,-90
0,0,0,0,17,-19
97,0,2,-67,76,0
0,0,0,0,0,0
-75,0,0,-87,0,0
84,0,31,0,0,0
0,0,0,71,0,68
0,0,35,-64,-3,0
0,0,-82,0,42,49
0,12,0,-65,-63,54
4,0,0,-10,-71,0
-67,0,-97,-29,0,0
0,0,0,0,0,0
0,-23,66,0,0,0
3,0,73,0,0,0
19,30,40,0,-95,0
0,48,0,0,0,0
0,-78,65,0,0,0
0,75,78,0,0,0
54,0,0,0,0,0
0,-53,-44,-24,0,0
0,32,0,0,66,0
0,0,-82,7,0,0
-42,0,-12,0,0,73
7,0,3,0,0,0
0,35,0,0,0,0
0,0,0,-96,17,0
0,20,0,0,9,0
0,0,-43,93,0,0
0,0,45,-19,-88,0
0,0,0,0,0,0
0,0,-90,-94,0,0
0,-13,0,0,0,0
0,-78,0,0,-46,0
0,-7,36,-31,-49,0
0,-66,0,-91,0,-39
0,0,-25,0,47,0
-1,0,0,0,0,57
-98,0,0,0,-69,0
0,7,0,-96,0,0
0,0,-74,0,99,0
75,-73,-71,0,0,-56
0,0,-45,0,56,0
0,16,-7,-71,65,0
0,21,0,23,47,0
61,0,48,0,3,0
82,0,-20,-9,-20,-57
-68,0,71,0,8,0
-97,0,3,0,-1,0
0,100,0,0,0,0
0,-35,38,0,0,0
0,-45,0,91,0,0
0,0,78,-37,0,0
0,0,-10,96,0,0
12,0,0,0,0,0
0,0,23,-90,0,0
0,54,0,-70,0,0
0,-3,0,0,0,0
0,0,-34,0,0,0
0,0,0,0,0,0
-14,29,51,0,-17,-99
42,0,-73,91,90,0
0,0,17,0,0,0
0,73,27,0,0,0
0,95,47,0,14,0
11,80,23,13,77,0
91,89,48,-78,61,0
0,-56,0,0,0,0
-65,0,-2,-99,0,0
0,0,99,0,0,0
0,0,0,0,0,0
0,0,0,0,35,0
36,0,61,0,0,0
0,0,24,0,-35,0
0,0,43,0,0,0
-64,0,5,0,-78,0
0,45,0,0,0,0
0,72,0,0,92,0
0,53,0,0,0,0
0,0,0,0,0,0
39,-43,68,0,-41,-62
0,0,21,24,0,0
0,0,0,0,74,0
0,0,-93,0,74,0
25,0,6,100,-16,0
-57,43,74,0,-80,0
34,87,37,31,21,98
72,0,-68,93,0,0
72,-12,70,0,0,0
0,-83,0,49,0,0
0,-3,-9,0,0,-80
-63,0,-46,0,0,0
0,0,-85,-19,0,79
-100,51,0,0,0,0
0,0,9,-78,0,0
49,0,-71,92,0,0
0,0,0,0,0,0
0,0,74,0,0,0
0,0,98,0,81,-83
-82,0,-66,52,0,51
0,30,1,-78,19,0
-4,66,-91,0,31,0
0,-34,0,-34,37,27
-90,-47,34,0,0,0
0,0,-59,0,6,0
0,0,-85,-37,95,0
30,0,7,0,0,0
0,-75,1,0,0,38
-70,59,0,0,0,0
23,89,26,-57,0,0
2,0,0,0,0,0
0,86,96,89,0,0
-47,1,48,0,0,0
0,-13,-72,0,0,0
76,0,-36,0,0,0
0,0,0,0,0,0
0,0,55,63,-9,0
67,0,-92,0,-25,0
0,0,0,22,78,39
0,0,-91,54,0,0
44,0,0,0,-25,82
0,0,20,0,0,0
46,0,-11,0,-60,0
-70,-34,-32,85,22,0
-7,23,-19,-82,54,0
48,0,76,0,0,0
0,0,0,54,-14,35
0,9,0,0,0,0
-10,0,0,0,0,0
49,0,0,-57,0,0
0,0,-32,94,0,27
0,-98,0,46,0,74
0,60,0,0,0,0
-76,0,0,33,47,-89
0,0,27,0,0,0
0,27,70,-85,0,0
0,10,0,0,0,93
0,0,0,-94,-1,0
11,0,-24,0,0,0
96,0,64,-26,0,0
0,0,0,0,37,0
26,0,18,0,-97,2
0,0,-31,0,0,0
-84,0,-86,-81,-3,0
10,0,65,0,0,0
-21,-44,-49,-36,0,0
0,0,0,0,0,0
0,58,-54,81,-31,0
0,0,0,-34,0,84
0,-67,33,0,0,0
23,11,16,-20,0,0
96,0,0,0,30,0
0,0,92,0,0,-74
80,68,26,0,0,52
45,-11,0,0,-26,0
0,57,-52,0,0,-96
0,-61,-9,0,2,0
0,-63,73,56,-19,0
-44,-40,0,-43,-68,0
77,-22,-36,0,0,-52
0,0,0,63,-87,0
0,0,22,0,-10,-65
0,0,51,-79,86,0
0,0,-3,-8,0,0
0,0,-54,18,0,0
0,0,0,6,0,0
83,0,4,37,0,4
54,0,-70,79,0,0
-42,0,-89,0,0,49
0,0,27,0,0,0
0,-81,74,0,-54,-98
0,0,-36,0,0,0
0,92,-53,0,37,0
0,0,-22,94,-44,0
-62,0,-78,0,0,-17
0,0,21,0,0,0
0,0,0,-45,45,0
-70,99,-93,-49,0,0
0,-37,0,0,-29,0
0,14,0,0,0,8
70,-55,0,-33,40,0
-7,93,0,-54,-17,0
72,-14,0,-90,0,0
-38,0,-57,0,0,-63
46,0,-66,0,0,0
0,0,0,0,0,0
0,0,0,87,0,57
-91,0,-20,0,0,0
98,0,49,0,-17,90
0,0,16,-81,0,-10
0,0,-33,50,0,0
0,-94,-60,-61,0,0
0,0,-48,0,0,0
0,0,29,0,0,0
0,86,0,0,37,0
0,-29,34,0,-54,0
93,-21,-10,0,-57,0
0,73,0,0,4,74
0,-27,96,0,75,0
0,0,-79,0,-7,17
-74,-85,-56,0,21,0
0,58,0,0,0,1
0,-38,4,0,0,3
0,5,0,0,76,0
8,0,28,0,0,0
-66,42,-56,0,0,0
0,0,-89,94,0,0
-90,0,36,-23,0,0
29,0,0,0,2,-90
0,0,0,0,19,0
30,0,-18,0,0,-30
0,-11,0,0,60,0
0,0,0,0,0,27
0,0,0,38,-90,10
-62,67,59,-27,27,0
0,0,0,0,-42,0
0,0,-3,-1,0,61
45,0,46,0,70,-66
0,-88,0,26,99,0
63,63,-84,-46,33,0
0,29,-8,0,0,0
58,39,-33,-92,0,0
0,16,0,0,0,0
63,-74,-76,0,0,0
-50,93,-67,-88,-65,-27
0,-7,91,0,-49,0
-78,0,-62,-5,-3,0
0,78,85,0,35,0
-27,-77,0,0,0,-4
0,0,-61,-17,0,-70
0,0,48,85,-54,0
14,0,90,0,0,64
8,0,0,0,-9,0
0,0,61,0,74,0
8,-49,96,-47,-34,0
0,-5,-7,40,-21,0
-9,72,3,80,0,93
0,0,-13,0,31,0
0,70,-99,0,-63,10
-33,-96,0,0,0,22
8,-62,-20,-45,0,0
0,50,0,0,0,0
-6,90,-9,93,0,33
0,-11,16,-48,11,0
0,10,-17,0,0,0
0,-46,0,-33,0,0
-14,36,58,0,0,-86
15,83,98,0,0,0
0,-74,-16,0,0,0
-9,22,-86,76,0,-91
0,-12,-97,97,-34,0
-12,-64,100,0,-48,0
0,0,0,0,72,0
0,0,40,0,55,0
-85,0,5,59,-52,-97
40,0,-53,0,0,0
-87,0,-62,0,0,0
0,0,80,-35,32,0
-5,44,0,0,0,96
96,0,0,0,-30,0
0,-84,32,0,78,70
0,-13,-66,30,0,-46
0,-49,55,0,0,0
0,0,0,0,0,0
0,100,0,0,-1,69
-99,-7,-66,0,0,77
0,47,0,-55,0,0
-68,87,0,0,0,0
0,-93,0,0,-30,0
0,-12,83,0,0,0
0,-8,-54,0,5,-42
0,28,45,0,-75,27
79,30,-92,0,0,23
21,-43,69,0,0,0
0,-36,-21,33,70,-43
0,0,58,-51,90,0
0,0,-65,0,52,0
99,0,-84,0,0,0
46,0,23,0,0,0
77,0,65,93,0,0
37,0,0,94,0,0
0,0,26,-62,0,0
34,91,-38,84,0,0
-68,9,88,0,0,0
0,61,47,0,0,0
-95,0,0,0,0,0
0,46,-97,-40,87,0
0,0,0,-28,16,0
-39,0,34,-40,0,0
1,-13,0,0,0,0
0,0,0,0,-16,0
-22,14,-12,0,93,0
0,-39,0,0,0,0
0,0,-2,24,-95,0
69,-15,68,65,55,0
26,-86,-32,0,49,0
0,53,26,-66,0,0
62,96,85,0,0,0
-82,0,0,100,0,0
0,0,0,0,0,0
0,0,48,56,0,-74
0,-60,-59,0,0,0
35,0,0,-90,30,0
0,0,0,40,0,0
96,0,0,0,0,0
-96,0,-33,35,98,0
0,0,-50,-86,-4,0
0,0,0,-82,0,-94
0,61,-64,0,37,0
0,-77,-2,0,0,0
-89,41,-99,-41,-74,-57
0,0,-86,83,27,0
69,0,92,84,30,0
0,56,91,7,-68,0
0,90,100,0,66,0
0,16,0,-35,0,0
25,-90,-11,-81,0,0
83,0,-49,11,0,0
0,-26,0,-62,0,0
0,59,4,0,0,0
86,-85,1,0,0,0
0,0,0,0,0,0
0,0,0,-37,0,0
8,0,0,0,51,0
0,0,0,37,99,0
12,0,-74,83,0,0
0,-45,0,29,0,0
-86,0,5,-75,49,0
0,-63,20,-41,-16,0
0,0,0,70,-63,0
-4,0,0,-6,37,0
0,-66,0,0,11,0
0,52,48,90,99,0
0,0,-96,-31,-20,0
75,0,70,0,0,0
0,52,-38,0,0,0
0,0,-43,0,0,0
55,-67,-79,0,0,65
-41,11,0,0,0,0
0,49,0,0,0,0
0,0,17,0,0,0
44,0,0,0,51,0
-62,10,88,-57,-32,0
-83,-11,0,0,35,0
-78,0,0,0,17,0
0,0,0,-44,81,0
-35,0,0,0,-74,0
0,0,0,0,0,0
45,0,0,-46,-67,0
0,0,61,0,51,0
-46,-85,-92,0,31,0
-19,0,-28,92,53,0
0,97,-7,0,-30,0
0,0,-30,0,0,0
-95,0,-44,0,0,0
0,-12,0,0,82,0
0,65,-91,0,0,0
-43,-18,0,-80,0,0
0,-64,52,0,0,0
0,-20,-53,0,0,0
0,0,-5,94,0,0
0,-81,48,25,-21,0
0,-10,-11,0,0,0
-96,0,0,-32,0,-71
0,-63,-26,80,0,0
0,34,0,0,-5,0
0,-12,100,18,-76,0
0,0,0,0,0,18
0,0,93,0,-87,0
63,0,68,100,-19,0
0,0,0,0,26,0
0,-74,0,0,97,-86
-2,-48,-76,99,0,0
0,0,0,0,0,0
0,0,0,0,0,0
73,0,0,0,0,0
2,0,-83,-83,0,0
0,0,0,-2,0,0
0,0,19,0,12,0
0,1,-43,31,93,76
0,33,-99,86,0,0
0,-33,87,0,0,0
0,15,98,0,0,0
0,4,0,0,-53,0
79,-12,0,0,0,0
0,-71,78,0,-70,0
66,-98,23,0,0,0
-24,46,-35,0,58,0
-2,-29,12,87,49,22
0,-42,-43,-61,24,0
0,0,0,58,18,0
0,0,0,-1,0,0
0,0,0,0,0,0
33,0,-66,-83,0,0
0,0,35,-46,0,0
-73,-3,49,-68,0,0
78,0,0,0,0,0
-80,36,14,0,0,0
72,66,68,-97,0,0
53,0,0,0,0,0
18,0,-84,19,-71,0
0,-24,-27,0,-59,0
0,0,0,60,83,0
0,2,-54,-65,99,40
0,-84,72,30,-35,0
0,90,37,-96,0,0
0,50,0,0,98,0
0,5,19,25,-93,-86
0,0,48,-9,-26,0
0,10,-65,0,-93,0
-77,0,64,-6,0,100
0,-22,60,0,0,0
-46,-57,-15,-12,0,0
97,0,-78,20,0,0
0,0,0,-54,50,0
-47,0,-62,0,19,0
-27,0,92,-8,75,0
0,0,-72,0,0,0
0,0,-93,29,-25,0
0,0,0,0,0,0
0,0,-51,-5,0,-22
100,0,-98,0,-76,0
0,0,-58,0,0,31
0,0,-64,-77,53,0
0,45,-76,0,12,0
0,22,31,-31,-53,0
0,-23,0,0,-82,0
0,0,57,0,-92,0
0,0,-65,-69,-33,0
-60,76,76,0,0,0
0,74,80,-39,0,0
0,-5,-49,0,0,0
0,-57,0,-11,0,0
0,81,-25,46,0,-57
0,41,12,0,87,0
0,-90,0,0,0,0
-26,0,6,-87,0,8
0,0,-6,-81,-87,0
-23,0,23,0,-58,0
0,0,54,-44,26,0
0,0,0,0,63,0
0,0,0,-24,0,0
0,0,34,4,48,0
0,4,0,0,15,0
-32,-22,0,0,-33,0
0,48,-88,-90,74,0
-85,50,0,0,24,0
0,0,-64,0,17,0
-95,52,0,-54,0,0
0,-47,0,-38,0,0
0,77,-27,17,0,0
0,-85,0,0,0,-11
-55,53,78,-67,0,0
74,-39,-11,0,0,0
0,-28,-65,-12,0,0
20,4,-66,0,0,0
-5,-97,0,-83,0,0
0,74,0,0,-11,0
0,-35,-60,0,0,0
0,0,-52,0,0,0
0,0,0,0,0,0
68,0,-36,0,0,0
-49,75,0,0,82,0
16,0,25,0,-16,0
0,-27,44,0,-87,-21
-9,0,43,0,72,0
-34,-20,12,0,59,0
0,0,-26,93,0,0
0,56,-43,0,0,0
23,28,34,12,0,0
0,0,96,56,0,0
72,81,0,0,0,0
-37,0,-42,0,0,0
-21,0,0,0,0,0
0,44,13,0,-15,0
-95,2,0,0,52,0
0,-57,34,74,0,0
0,0,0,0,-66,0
0,60,32,0,-32,0
0,54,50,0,0,0
0,49,0,0,-42,0
-82,12,2,0,-23,0
0,0,46,0,0,0
0,0,-79,0,9,0
0,0,0,0,53,0
0,0,-29,0,-84,0
0,0,7,0,0,0
0,67,85,0,0,0
0,0,-90,0,0,0
-54,0,0,-3,0,0
49,0,73,0,0,0
0,0,71,85,-75,-4
0,0,0,0,-98,0
0,0,88,0,0,0
0,0,12,0,0,69
0,54,0,0,0,0
0,-6,100,98,-16,0
0,11,-79,0,0,0
70,-83,86,0,-29,0
0,-65,-10,0,0,0
-87,-36,0,46,-6,0
2,40,49,0,0,0
0,-83,-29,0,78,0
-40,-28,-16,0,39,0
56,-11,-58,0,-56,0
0,0,-44,0,0,0
12,0,-13,0,0,0
0,0,-70,-40,0,0
11,70,57,0,-56,0
0,0,0,43,0,0
-38,0,-66,-3,23,0
-10,0,-8,52,0,0
0,0,87,0,24,0
-2,0,19,11,0,0
0,0,0,-99,0,0
0,0,-31,0,0,0
0,77,0,0,-21,0
0,0,0,-87,0,0
0,87,0,-21,0,0
7,0,0,-35,-66,-52
-64,-77,0,-27,74,0
0,52,-7,0,-72,0
-46,-19,0,-58,-32,0
0,-16,0,0,41,0
0,-46,0,43,0,0
-10,67,42,-21,0,0
0,-17,-32,89,0,0
-76,57,0,0,0,0
26,0,0,0,0,0
67,0,-83,7,0,61
-36,0,-76,0,0,0
0,0,-26,0,0,0
39,0,0,0,63,0
0,0,29,-62,74,0
0,0,-16,0,73,0
47,0,0,0,0,0
0,0,43,0,0,0
0,0,0,14,-32,30
23,-66,22,0,81,0
0,61,-5,0,33,0
0,0,6,0,-15,0
0,0,0,0,1,0
0,47,92,0,-35,0
0,67,-71,0,0,0
0,0,0,0,0,75
-17,-31,32,-59,0,0
0,-78,-50,0,0,-70
0,68,4,48,86,0
5,-27,-27,0,-8,0
0,36,-6,41,32,0
0,-40,100,0,0,68
-11,0,57,-26,0,0
0,0,0,0,0,0
0,0,21,0,0,0
0,0,-32,0,-49,0
-62,0,-58,0,-49,0
75,0,57,0,-33,0
-11,0,-85,0,0,0
98,0,-87,0,-23,0
0,0,-15,0,15,0
0,-15,0,0,24,82
79,-63,74,0,-38,0
0,0,-75,44,0,0
-2,0,0,0,0,0
0,0,-36,0,0,0
0,0,23,0,0,0
71,0,-40,0,0,-64
-21,5,0,0,0,0
-62,-88,57,-94,50,0
14,-24,-83,0,-13,-80
0,-72,-56,-33,-15,0
-3,83,7,-43,81,0
0,99,93,41,0,0
0,-48,14,0,-37,0
0,0,0,0,-46,0
0,0,34,0,-30,0
34,0,0,-46,44,0
0,91,32,0,-85,0
0,0,5,99,-60,0
-40,0,0,0,73,0
-29,0,0,0,-55,0
-34,-7,0,0,0,0
-50,0,3,5,0,0
0,0,0,66,0,0
0,38,0,0,0,0
0,0,0,0,0,0
0,18,46,0,83,0
0,46,93,-60,0,23
0,-76,-32,85,95,0
0,0,76,0,-78,0
0,0,-63,83,73,0
0,-16,6,94,-11,0
0,42,0,-82,0,-67
-100,0,-47,0,-65,0
-12,18,0,-18,-2,0
0,-8,76,0,-31,0
72,-57,0,0,-46,0
53,0,9,5,0,0
0,0,67,0,-58,0
32,0,78,0,66,0
0,0,-78,0,0,0
0,0,84,0,0,0
0,-91,-71,0,0,0
0,97,0,0,63,0
-39,-46,0,0,0,0
0,76,59,0,0,0
92,-94,14,0,0,0
-43,0,0,0,99,0
4,0,0,0,0,0
-21,0,98,0,0,0
25,-93,-43,0,-26,0
0,-56,40,0,11,0
0,0,29,0,6,0
0,18,35,0,36,0
97,0,11,0,-25,0
83,-80,73,66,-86,0
-92,0,34,-27,74,0
0,42,35,-34,78,0
98,16,0,0,15,0
0,70,0,-26,0,0
0,0,0,0,0,0
0,0,22,29,0,0
0,0,72,91,0,0
0,0,0,0,96,0
0,0,-18,-62,87,0
0,0,0,0,0,0
-43,0,0,76,0,0
0,0,0,75,0,0
0,0,0,-21,-73,0
0,0,-34,73,-22,0
0,0,-72,0,36,54
0,0,-45,9,73,0
-73,0,-17,34,10,59
0,0,-9,58,0,0
0,-82,0,70,73,0
0,3,-98,-10,0,0
0,0,0,0,48,0
0,38,-48,69,-53,0
0,83,-57,0,0,0
91,18,-76,-34,0,0
0,62,-73,-96,0,0
0,-89,-87,17,0,0
-52,-77,3,0,36,0
0,0,0,0,-28,0
-57,0,-60,65,0,42
0,0,49,4,-4,0
0,0,-40,-78,0,0
0,0,86,0,0,0
0,0,-37,0,75,0
-94,0,-41,-7,-20,0
0,0,-69,0,0,-86
0,0,92,0,0,0
41,0,0,-31,0,0
0,0,83,84,-77,0
0,76,73,-76,-93,0
33,81,0,-2,70,0
0,0,58,27,-58,0
0,0,0,0,0,0
3,21,-13,0,0,0
0,48,24,-89,0,0
0,-92,-73,0,0,0
88,0,-84,0,0,0
71,-27,-59,0,0,0
0,65,0,0,-57,0
0,-69,-35,-18,-72,0
0,76,98,0,-69,0
10,0,-95,0,0,0
-67,0,0,0,0,100
0,0,5,0,0,0
0,70,0,54,97,0
0,0,-23,39,0,0
0,0,16,0,100,0
45,51,54,0,29,0
18,0,-52,0,35,0
0,-38,-41,0,-38,-7
0,-33,68,0,84,0
-56,0,58,-71,0,0
61,0,0,0,0,-74
0,96,0,68,0,0
